,game_time,road_team,home_team,road_points,home_points,w_l,money_line_final,spread_init,spread_final,spread_w_l,spread_odds_final,totals_init,totals_final,totals_w_l,totals_odds_final,margin,margin_odds,expectedTotals0,expectedTotals1,totals_diff
112,2016-11-24 09:30:00,LAC,DAL,124,104,0.0,1.04,11.5,10.5,0,1.69,194.5,193.5,3,1.75,客16-20,4.9,210.6375,192.05,2.4499999999999886
113,2016-11-26 11:30:00,GSW,LAL,109,85,0.0,1.01,11.5,14.5,0,1.75,232.5,229.5,0,1.75,客21-25,5.4,230.25294117647059,220.5,12.0
114,2016-11-28 02:00:00,CLE,PHI,112,108,0.0,1.02,12.5,12.5,3,1.69,210.5,208.5,3,1.75,客1-5,5.2,219.93555555555557,217.45,-6.949999999999989
115,2016-11-28 07:00:00,LAC,IND,70,91,3.0,5.3,10.5,10.5,3,1.75,209.5,210.5,0,1.75,主21-25,150.0,212.9111111111111,186.15,23.349999999999994
116,2016-11-30 08:30:00,LAC,BKN,122,127,3.0,5.6,12.5,10.5,3,1.82,217.5,213.5,3,1.75,主1-5,11.5,223.00619195046437,198.65,18.849999999999994
117,2016-12-11 09:00:00,GSW,MEM,89,110,3.0,6.3,10.5,13.5,3,1.75,209.5,211.5,0,1.81,主21-25,170.0,215.54,220.5,-11.0
118,2016-12-14 09:00:00,GSW,NOP,113,109,0.0,1.02,10.5,11.5,3,1.82,224.5,226.5,0,1.7,客1-5,5.65,224.93076923076922,220.0,4.5
119,2016-12-23 08:30:00,GSW,BKN,117,101,,,14.5,14.5,0,1.69,231.5,230.5,0,1.75,客16-20,4.2,232.1243604004449,217.0,14.5
120,2017-01-09 10:00:00,GSW,SAC,117,106,0.0,1.01,10.5,12.5,3,1.82,222.5,226.5,0,1.75,客11-15,3.7,222.552347083926,214.9,7.599999999999994
121,2017-01-15 07:00:00,SAS,PHX,105,108,3.0,5.6,11.5,12.5,3,1.75,213.5,217.5,0,1.75,主1-5,13.5,218.51,208.85,4.650000000000006
122,2017-01-16 07:00:00,HOU,BKN,137,112,0.0,1.02,12.5,12.5,0,1.69,231.5,232.5,3,1.75,客21-25,6.0,229.70883720930232,220.0,11.5
123,2017-01-18 08:30:00,TOR,BKN,119,109,0.0,1.12,11.5,8.5,0,1.75,226.5,225.5,3,1.75,客6-10,3.25,225.95447154471543,217.3,9.199999999999989
124,2017-01-23 01:00:00,GSW,ORL,118,98,0.0,1.0,12.5,13.5,0,1.69,224.5,226.5,0,1.75,客16-20,4.55,222.53410628019327,211.2,13.300000000000011
125,2017-01-24 08:30:00,SAS,BKN,112,86,0.0,1.02,11.5,12.5,0,1.75,217.5,218.5,0,1.75,客26+,6.0,222.45999999999998,208.1,9.400000000000006
126,2017-01-24 08:30:00,GSW,MIA,102,105,3.0,6.2,11.5,12.5,3,1.75,216.5,219.5,0,1.75,主1-5,13.5,220.03555555555556,206.95,9.550000000000011
127,2017-02-05 11:30:00,GSW,SAC,106,109,3.0,6.3,12.5,14.5,3,1.75,225.5,224.5,0,1.81,主1-5,18.5,224.19019607843137,218.20000000000002,7.299999999999983
128,2017-02-14 10:00:00,GSW,DEN,110,132,3.0,5.6,11.5,11.5,3,1.82,238.5,236.5,3,1.75,主21-25,180.0,230.17818181818183,222.14999999999998,16.350000000000023
129,2017-02-16 08:00:00,SAS,ORL,107,79,0.0,1.06,10.5,10.5,0,1.82,205.5,207.5,0,1.75,客26+,7.9,212.79987684729065,204.0,1.5
130,2017-02-27 04:30:00,SAS,LAL,119,98,0.0,1.02,10.5,12.5,0,1.75,212.5,209.5,3,1.75,客21-25,6.35,217.742816091954,205.45,7.050000000000011
131,2017-02-28 08:00:00,GSW,PHI,119,108,0.0,1.01,13.5,13.5,3,1.75,226.5,229.5,0,1.75,客11-15,4.0,225.16073446327684,218.7,7.800000000000011
132,2017-03-20 09:30:00,CLE,LAL,125,120,0.0,1.02,11.5,12.5,3,1.75,222.5,222.5,3,1.75,客1-5,5.8,222.3047619047619,220.39999999999998,2.1000000000000227
133,2017-04-03 09:00:00,HOU,PHX,123,116,0.0,1.18,10.5,7.5,3,1.75,234.5,226.5,3,1.75,客6-10,3.4,228.68354978354978,229.25,5.25
134,2017-05-23 09:00:00,GSW,SAS,129,115,0.0,1.05,11.5,11.5,0,1.82,215.5,219.5,3,1.75,客11-15,4.0,214.04024390243902,203.35,12.150000000000006
135,2017-10-24 08:30:00,GSW,DAL,133,103,0.0,1.01,10.5,14.5,0,1.69,213.5,215.5,3,1.8,客26+,5.8,233.35,226.45,-12.949999999999989
136,2017-11-08 11:00:00,OKC,SAC,86,94,3.0,5.1,10.5,11.5,3,1.75,204.5,204.5,0,1.75,主6-10,17.5,206.32,197.2,7.300000000000011
137,2017-11-17 11:30:00,HOU,PHX,142,116,0.0,1.02,11.5,12.5,0,1.68,230.5,229.5,3,1.75,客26+,4.7,229.6970588235294,222.1,8.400000000000006
138,2017-11-20 07:00:00,GSW,BKN,118,111,0.0,1.01,12.5,11.5,3,1.81,233.5,229.5,0,1.75,客6-10,3.85,231.82426470588234,229.04999999999998,4.450000000000017
139,2017-11-30 11:30:00,GSW,LAL,127,123,0.0,1.01,11.5,13.5,3,1.75,227.5,228.5,3,1.75,客1-5,8.75,225.92467532467532,221.4,6.099999999999994
140,2017-12-02 08:00:00,GSW,ORL,133,112,,,11.5,11.5,0,1.81,227.5,227.5,3,1.8,,,229.79565217391303,225.2,2.3000000000000114
141,2017-12-04 08:00:00,GSW,MIA,123,95,0.0,1.06,10.5,10.5,0,1.68,217.5,220.5,0,1.8,客26+,6.9,222.14886956521738,218.75,-1.25
142,2017-12-04 10:30:00,HOU,LAL,118,95,0.0,1.02,11.5,12.5,0,1.75,225.5,223.5,0,1.8,客21-25,6.0,223.46600790513833,216.05,9.449999999999989
143,2017-12-14 10:00:00,TOR,PHX,115,109,0.0,1.03,11.5,11.5,3,1.81,219.5,220.5,3,1.75,客6-10,3.65,225.1776923076923,218.95000000000002,0.549999999999983
